iter	Passed	Remaining
0	135	135249
1	136	68293
2	137	45816
3	138	34544
4	139	27780
5	140	23352
6	141	20115
7	142	17718
8	143	15837
9	149	14828
10	151	13626
11	152	12562
12	153	11655
13	154	10872
14	155	10196
15	156	9651
16	157	9130
17	158	8664
18	165	8528
19	166	8146
20	167	7792
21	168	7473
22	168	7178
23	169	6905
24	170	6660
25	171	6431
26	172	6217
27	173	6025
28	174	5846
29	178	5766
30	179	5610
31	180	5456
32	181	5309
33	182	5172
34	182	5045
35	183	4925
36	186	4848
37	187	4755
38	188	4648
39	189	4546
40	192	4496
41	193	4417
42	194	4333
43	195	4256
44	196	4179
45	197	4104
46	198	4034
47	199	3966
48	201	3901
49	202	3845
50	203	3794
51	206	3756
52	207	3699
53	208	3643
54	209	3595
55	210	3545
56	211	3495
57	212	3445
58	212	3395
59	214	3359
60	217	3354
61	219	3321
62	220	3281
63	221	3243
64	222	3206
65	223	3167
66	224	3128
67	225	3090
68	226	3052
69	227	3016
70	228	2984
71	228	2950
72	229	2917
73	233	2925
74	235	2900
75	236	2869
76	237	2841
77	237	2812
78	238	2784
79	239	2756
80	240	2728
81	241	2701
82	241	2670
83	242	2644
84	243	2619
85	244	2594
86	244	2570
87	248	2571
88	249	2552
89	250	2533
90	251	2512
91	252	2491
92	253	2471
93	255	2464
94	256	2445
95	257	2425
96	258	2405
97	259	2385
98	259	2366
99	262	2361
100	264	2353
101	265	2337
102	267	2325
103	267	2307
104	268	2289
105	269	2272
106	270	2255
107	270	2238
108	271	2221
109	272	2204
110	273	2188
111	274	2172
112	274	2156
113	277	2154
114	279	2148
115	279	2133
116	280	2117
117	281	2103
118	282	2089
119	283	2075
120	283	2061
121	284	2047
122	285	2033
123	285	2020
124	286	2006
125	287	1993
126	288	1980
127	288	1967
128	289	1955
129	294	1969
130	295	1959
131	296	1947
132	296	1935
133	297	1925
134	298	1914
135	299	1902
136	300	1891
137	301	1880
138	301	1869
139	302	1858
140	303	1847
141	303	1835
142	304	1826
143	307	1830
144	310	1828
145	311	1819
146	311	1810
147	312	1801
148	314	1793
149	314	1784
150	315	1775
151	316	1766
152	317	1757
153	318	1748
154	319	1739
155	319	1731
156	322	1733
157	324	1729
158	325	1721
159	326	1713
160	326	1703
161	327	1696
162	328	1688
163	329	1680
164	330	1672
165	331	1665
166	332	1657
167	332	1649
168	333	1641
169	335	1635
170	341	1654
171	342	1646
172	342	1639
173	343	1632
174	344	1624
175	345	1617
176	346	1609
177	347	1602
178	347	1595
179	348	1588
180	349	1581
181	350	1575
182	355	1587
183	357	1584
184	359	1582
185	360	1577
186	363	1580
187	365	1579
188	374	1608
189	376	1605
190	377	1600
191	378	1594
192	381	1595
193	388	1615
194	390	1612
195	391	1607
196	393	1602
197	394	1596
198	395	1591
199	396	1585
200	400	1591
201	404	1599
202	406	1596
203	408	1595
204	410	1593
205	412	1588
206	417	1600
207	418	1594
208	419	1588
209	425	1600
210	426	1596
211	431	1602
212	432	1597
213	433	1592
214	436	1594
215	438	1592
216	439	1587
217	440	1581
218	443	1581
219	446	1581
220	447	1576
221	448	1570
222	449	1565
223	454	1575
224	457	1575
225	458	1571
226	459	1565
227	460	1560
228	461	1554
229	462	1548
230	463	1544
231	470	1556
232	471	1552
233	472	1546
234	473	1541
235	474	1535
236	475	1529
237	475	1523
238	476	1517
239	477	1511
240	478	1506
241	479	1501
242	486	1514
243	487	1509
244	488	1505
245	489	1500
246	490	1495
247	491	1490
248	493	1487
249	494	1482
250	500	1493
251	501	1489
252	503	1485
253	504	1480
254	505	1475
255	505	1470
256	506	1465
257	508	1463
258	509	1458
259	519	1477
260	520	1473
261	521	1469
262	523	1466
263	524	1462
264	531	1473
265	533	1470
266	534	1467
267	536	1464
268	537	1459
269	538	1455
270	540	1453
271	548	1467
272	549	1463
273	551	1460
274	552	1456
275	553	1452
276	563	1469
277	564	1467
278	566	1464
279	567	1460
280	569	1456
281	579	1475
282	581	1473
283	583	1470
284	584	1466
285	585	1462
286	586	1457
287	594	1469
288	596	1467
289	597	1463
290	599	1460
291	600	1455
292	601	1451
293	603	1448
294	610	1458
295	611	1454
296	612	1450
297	614	1446
298	615	1442
299	615	1437
300	616	1432
301	618	1428
302	626	1442
303	628	1438
304	629	1434
305	631	1431
306	632	1426
307	633	1422
308	634	1418
309	635	1415
310	637	1411
311	638	1407
312	639	1403
313	640	1398
314	641	1394
315	642	1390
316	643	1387
317	647	1389
318	649	1385
319	650	1381
320	651	1377
321	653	1376
322	658	1380
323	663	1383
324	665	1381
325	669	1384
326	670	1380
327	671	1376
328	672	1372
329	673	1367
330	682	1378
331	683	1374
332	684	1370
333	685	1366
334	686	1361
335	688	1359
336	689	1356
337	690	1351
338	697	1360
339	700	1359
340	701	1355
341	702	1352
342	703	1347
343	704	1343
344	705	1338
345	711	1344
346	712	1341
347	713	1337
348	715	1333
349	716	1330
350	718	1327
351	720	1325
352	721	1321
353	731	1334
354	733	1333
355	735	1329
356	736	1326
357	749	1343
358	750	1340
359	751	1336
360	752	1332
361	757	1335
362	763	1339
363	764	1335
364	765	1331
365	766	1328
366	767	1324
367	768	1320
368	774	1323
369	775	1320
370	776	1316
371	777	1312
372	778	1308
373	779	1304
374	789	1316
375	791	1312
376	792	1308
377	793	1304
378	793	1300
379	794	1296
380	802	1304
381	804	1301
382	806	1299
383	807	1296
384	809	1292
385	814	1296
386	816	1292
387	819	1293
388	822	1291
389	823	1287
390	824	1283
391	825	1279
392	833	1287
393	834	1283
394	835	1280
395	836	1276
396	837	1272
397	838	1268
398	839	1264
399	840	1260
400	846	1264
401	848	1262
402	850	1259
403	851	1255
404	853	1253
405	854	1249
406	855	1245
407	856	1242
408	864	1249
409	866	1246
410	867	1242
411	871	1244
412	879	1249
413	881	1247
414	882	1244
415	883	1240
416	887	1240
417	894	1245
418	897	1243
419	898	1240
420	901	1239
421	902	1236
422	903	1232
423	910	1237
424	912	1234
425	913	1230
426	914	1227
427	915	1223
428	917	1221
429	919	1218
430	926	1223
431	929	1221
432	930	1218
433	931	1215
434	933	1212
435	934	1208
436	943	1215
437	944	1211
438	945	1208
439	947	1206
440	948	1202
441	949	1198
442	950	1195
443	958	1200
444	959	1196
445	960	1193
446	963	1192
447	965	1189
448	966	1185
449	972	1188
450	973	1185
451	975	1182
452	976	1178
453	979	1177
454	980	1174
455	981	1170
456	983	1168
457	985	1165
458	986	1162
459	989	1161
460	990	1157
461	998	1163
462	1000	1160
463	1001	1156
464	1004	1155
465	1005	1151
466	1011	1154
467	1013	1152
468	1014	1149
469	1016	1146
470	1018	1143
471	1019	1140
472	1020	1136
473	1026	1139
474	1029	1137
475	1030	1134
476	1032	1131
477	1033	1128
478	1034	1125
479	1036	1122
480	1045	1128
481	1046	1125
482	1048	1122
483	1049	1119
484	1058	1124
485	1060	1121
486	1061	1118
487	1064	1116
488	1065	1113
489	1066	1109
490	1066	1106
491	1075	1110
492	1076	1107
493	1077	1103
494	1079	1101
495	1080	1098
496	1081	1094
497	1087	1096
498	1089	1094
499	1090	1090
500	1091	1087
501	1092	1083
502	1094	1081
503	1095	1077
504	1096	1074
505	1097	1071
506	1098	1067
507	1106	1071
508	1108	1069
509	1110	1066
510	1111	1063
511	1112	1060
512	1113	1056
513	1119	1058
514	1120	1055
515	1121	1052
516	1122	1048
517	1124	1046
518	1125	1042
519	1126	1039
520	1127	1036
521	1127	1032
522	1128	1029
523	1135	1031
524	1137	1029
525	1138	1026
526	1139	1022
527	1140	1019
528	1141	1016
529	1143	1014
530	1150	1016
531	1152	1013
532	1153	1010
533	1154	1007
534	1155	1004
535	1156	1001
536	1157	998
537	1158	995
538	1166	997
539	1168	995
540	1169	991
541	1169	988
542	1171	985
543	1172	982
544	1173	979
545	1174	976
546	1181	978
547	1183	975
548	1184	972
549	1185	969
550	1186	967
551	1187	964
552	1189	961
553	1190	958
554	1197	960
555	1198	957
556	1199	954
557	1200	951
558	1202	948
559	1203	945
560	1204	942
561	1205	939
562	1213	941
563	1214	938
564	1215	935
565	1216	932
566	1217	929
567	1218	926
568	1219	923
569	1220	920
570	1221	917
571	1224	916
572	1225	913
573	1226	910
574	1227	907
575	1229	904
576	1230	901
577	1231	899
578	1232	895
579	1233	892
580	1235	890
581	1236	888
582	1237	885
583	1238	882
584	1239	879
585	1240	876
586	1241	873
587	1241	870
588	1242	867
589	1243	864
590	1247	863
591	1249	861
592	1251	858
593	1252	855
594	1253	853
595	1254	850
596	1255	847
597	1257	845
598	1258	842
599	1259	839
600	1262	837
601	1263	835
602	1264	832
603	1265	829
604	1267	827
605	1268	824
606	1269	822
607	1270	819
608	1275	819
609	1277	816
610	1278	814
611	1279	811
612	1280	808
613	1281	805
614	1283	803
615	1283	800
616	1284	797
617	1285	794
618	1291	794
619	1292	792
620	1293	789
621	1294	786
622	1295	784
623	1296	781
624	1297	778
625	1298	775
626	1299	773
627	1300	770
628	1301	767
629	1305	766
630	1306	763
631	1307	761
632	1308	758
633	1309	755
634	1310	753
635	1310	750
636	1311	747
637	1312	744
638	1313	742
639	1314	739
640	1315	736
641	1316	734
642	1321	733
643	1322	731
644	1323	728
645	1324	725
646	1325	723
647	1326	720
648	1327	717
649	1328	715
650	1328	712
651	1329	709
652	1330	707
653	1331	704
654	1334	703
655	1336	700
656	1337	698
657	1338	695
658	1339	693
659	1340	690
660	1341	687
661	1342	685
662	1342	682
663	1343	679
664	1344	677
665	1345	674
666	1346	672
667	1348	670
668	1350	668
669	1351	665
670	1352	663
671	1353	660
672	1354	658
673	1355	655
674	1356	652
675	1357	650
676	1358	647
677	1359	645
678	1360	642
679	1360	640
680	1361	637
681	1364	636
682	1365	633
683	1366	631
684	1367	628
685	1369	626
686	1370	624
687	1371	621
688	1372	619
689	1373	617
690	1374	614
691	1375	612
692	1376	609
693	1377	607
694	1380	605
695	1381	603
696	1382	600
697	1383	598
698	1383	595
699	1384	593
700	1385	591
701	1386	588
702	1387	586
703	1388	583
704	1389	581
705	1390	578
706	1390	576
707	1391	573
708	1393	572
709	1395	569
710	1396	567
711	1397	565
712	1398	562
713	1399	560
714	1400	558
715	1401	555
716	1401	553
717	1402	550
718	1403	548
719	1404	546
720	1405	543
721	1406	541
722	1407	539
723	1409	537
724	1410	535
725	1411	532
726	1412	530
727	1413	528
728	1414	525
729	1414	523
730	1415	520
731	1416	518
732	1417	516
733	1418	513
734	1419	511
735	1419	509
736	1420	506
737	1421	504
738	1423	502
739	1425	500
740	1426	498
741	1426	496
742	1427	493
743	1428	491
744	1429	489
745	1430	486
746	1431	484
747	1432	482
748	1434	480
749	1435	478
750	1437	476
751	1440	475
752	1441	472
753	1442	470
754	1443	468
755	1443	465
756	1444	463
757	1445	461
758	1446	459
759	1447	457
760	1448	454
761	1448	452
762	1449	450
763	1450	448
764	1451	445
765	1452	443
766	1455	442
767	1456	439
768	1457	437
769	1458	435
770	1458	433
771	1459	431
772	1461	429
773	1462	427
774	1463	425
775	1465	422
776	1466	420
777	1466	418
778	1467	416
779	1470	414
780	1471	412
781	1472	410
782	1473	408
783	1476	406
784	1477	404
785	1478	402
786	1479	400
787	1480	398
788	1481	396
789	1482	393
790	1482	391
791	1484	389
792	1485	387
793	1486	385
794	1487	383
795	1488	381
796	1489	379
797	1490	377
798	1491	375
799	1492	373
800	1492	370
801	1493	368
802	1494	366
803	1495	364
804	1496	362
805	1497	360
806	1499	358
807	1501	356
808	1501	354
809	1502	352
810	1504	350
811	1505	348
812	1505	346
813	1506	344
814	1507	342
815	1508	340
816	1509	338
817	1509	335
818	1510	333
819	1511	331
820	1512	329
821	1514	327
822	1516	326
823	1516	324
824	1518	322
825	1518	319
826	1519	317
827	1520	315
828	1521	313
829	1522	311
830	1522	309
831	1523	307
832	1524	305
833	1525	303
834	1526	301
835	1527	299
836	1528	297
837	1530	295
838	1531	293
839	1532	291
840	1533	289
841	1534	287
842	1534	285
843	1535	283
844	1536	281
845	1537	279
846	1538	277
847	1538	275
848	1539	273
849	1540	271
850	1541	269
851	1542	267
852	1544	266
853	1545	264
854	1546	262
855	1548	260
856	1549	258
857	1550	256
858	1551	254
859	1552	252
860	1553	250
861	1553	248
862	1554	246
863	1555	244
864	1556	242
865	1557	240
866	1559	239
867	1561	237
868	1562	235
869	1563	233
870	1564	231
871	1565	229
872	1566	227
873	1567	225
874	1568	224
875	1569	222
876	1570	220
877	1570	218
878	1571	216
879	1572	214
880	1576	212
881	1577	211
882	1578	209
883	1579	207
884	1580	205
885	1581	203
886	1582	201
887	1583	199
888	1584	197
889	1585	195
890	1586	194
891	1586	192
892	1589	190
893	1591	188
894	1592	186
895	1593	184
896	1594	183
897	1594	181
898	1595	179
899	1596	177
900	1597	175
901	1598	173
902	1598	171
903	1599	169
904	1600	167
905	1601	166
906	1602	164
907	1602	162
908	1605	160
909	1606	158
910	1607	157
911	1608	155
912	1609	153
913	1609	151
914	1610	149
915	1611	147
916	1612	145
917	1612	144
918	1613	142
919	1614	140
920	1615	138
921	1616	136
922	1617	134
923	1619	133
924	1621	131
925	1622	129
926	1623	127
927	1624	126
928	1625	124
929	1625	122
930	1626	120
931	1627	118
932	1628	116
933	1629	115
934	1630	113
935	1631	111
936	1632	109
937	1633	107
938	1635	106
939	1636	104
940	1637	102
941	1638	100
942	1638	99
943	1639	97
944	1640	95
945	1641	93
